Running 04_13_19_AttentionLSTMSkipConnection_many2many_128_128layers_lstm
Runnning in conda env cs478project
Using TensorFlow backend.
2019-04-13 20:34:24.786047: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
2019-04-13 20:34:24.845808: E tensorflow/stream_executor/cuda/cuda_driver.cc:406] failed call to cuInit: CUDA_ERROR_UNKNOWN
2019-04-13 20:34:24.845878: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (c0913.crane.hcc.unl.edu): /proc/driver/nvidia/version does not exist

Number of unique characters in our whole tunes database = 67

Model choice: AttentionLSTMSkipConnection
__________________________________________________________________________________________________
Layer (type)                    Output Shape         Param #     Connected to                     
==================================================================================================
input (InputLayer)              (16, 64)             0                                            
__________________________________________________________________________________________________
embedding (Embedding)           (16, 64, 256)        17152       input[0][0]                      
__________________________________________________________________________________________________
drop_layer1 (Dropout)           (16, 64, 256)        0           embedding[0][0]                  
__________________________________________________________________________________________________
lstm_layer1 (LSTM)              (16, 64, 128)        197120      drop_layer1[0][0]                
__________________________________________________________________________________________________
lstm_layer2 (LSTM)              (16, 64, 128)        131584      lstm_layer1[0][0]                
__________________________________________________________________________________________________
rnn_concat (Concatenate)        (16, 64, 512)        0           embedding[0][0]                  
                                                                 lstm_layer1[0][0]                
                                                                 lstm_layer2[0][0]                
__________________________________________________________________________________________________
time_distributed_1 (TimeDistrib (16, 64, 67)         34371       rnn_concat[0][0]                 
==================================================================================================
Total params: 380,227
Trainable params: 380,227
Non-trainable params: 0
__________________________________________________________________________________________________

 None
Total number of characters = 83542
Epoch 1/130
Batch: 18, Loss: 1.8447411060333252, Accuracy: 0.447265625
Batch: 19, Loss: 1.739027500152588, Accuracy: 0.4482421875
Batch: 20, Loss: 1.8491017818450928, Accuracy: 0.466796875
Batch: 21, Loss: 1.9510045051574707, Accuracy: 0.4599609375
Batch: 22, Loss: 1.8926724195480347, Accuracy: 0.4482421875
Batch: 23, Loss: 1.9444516897201538, Accuracy: 0.419921875
Batch: 24, Loss: 1.863011121749878, Accuracy: 0.439453125
Batch: 25, Loss: 1.912681221961975, Accuracy: 0.4541015625
Batch: 26, Loss: 1.835788369178772, Accuracy: 0.4609375
Batch: 27, Loss: 1.9543052911758423, Accuracy: 0.435546875
Batch: 28, Loss: 1.796025037765503, Accuracy: 0.4677734375
Batch: 29, Loss: 1.8350200653076172, Accuracy: 0.4609375
Batch: 30, Loss: 1.81813645362854, Accuracy: 0.45703125
Batch: 31, Loss: 1.6611878871917725, Accuracy: 0.48828125
Batch: 32, Loss: 1.6864221096038818, Accuracy: 0.48046875
Batch: 33, Loss: 1.6614015102386475, Accuracy: 0.4951171875
Batch: 34, Loss: 1.555034875869751, Accuracy: 0.5078125
Batch: 35, Loss: 1.7228105068206787, Accuracy: 0.4609375
Batch: 36, Loss: 1.6953850984573364, Accuracy: 0.4921875
Batch: 37, Loss: 1.795289158821106, Accuracy: 0.466796875
Batch: 38, Loss: 1.7539758682250977, Accuracy: 0.4736328125
Batch: 39, Loss: 1.7923442125320435, Accuracy: 0.470703125
Batch: 40, Loss: 1.713841199874878, Accuracy: 0.46875
Batch: 41, Loss: 1.6130177974700928, Accuracy: 0.49609375
Batch: 42, Loss: 1.7344815731048584, Accuracy: 0.4697265625
Batch: 43, Loss: 1.742730736732483, Accuracy: 0.4736328125
Batch: 44, Loss: 1.8053901195526123, Accuracy: 0.486328125
Batch: 45, Loss: 1.7947890758514404, Accuracy: 0.4775390625
Batch: 46, Loss: 1.721557855606079, Accuracy: 0.474609375
Batch: 47, Loss: 1.6440823078155518, Accuracy: 0.482421875
Batch: 48, Loss: 1.629453182220459, Accuracy: 0.4912109375
Batch: 49, Loss: 1.641343355178833, Accuracy: 0.50390625
Batch: 50, Loss: 1.6849136352539062, Accuracy: 0.484375
Batch: 51, Loss: 1.6304879188537598, Accuracy: 0.4931640625
Batch: 52, Loss: 1.6984093189239502, Accuracy: 0.451171875
Batch: 53, Loss: 1.6115468740463257, Accuracy: 0.5078125
Batch: 54, Loss: 1.6480379104614258, Accuracy: 0.4951171875
Batch: 55, Loss: 1.6564213037490845, Accuracy: 0.490234375
Batch: 56, Loss: 1.6082732677459717, Accuracy: 0.4921875
Batch: 57, Loss: 1.58347487449646, Accuracy: 0.5009765625
Batch: 58, Loss: 1.5906836986541748, Accuracy: 0.5126953125
Batch: 59, Loss: 1.713378667831421, Accuracy: 0.4677734375
Batch: 60, Loss: 1.7480705976486206, Accuracy: 0.47265625
Batch: 61, Loss: 1.7345484495162964, Accuracy: 0.490234375
Batch: 62, Loss: 1.7171813249588013, Accuracy: 0.482421875
Batch: 63, Loss: 1.6930361986160278, Accuracy: 0.4794921875
Batch: 64, Loss: 1.7574635744094849, Accuracy: 0.4765625
Batch: 65, Loss: 1.7498011589050293, Accuracy: 0.482421875
Batch: 66, Loss: 1.666501760482788, Accuracy: 0.4921875
Batch: 67, Loss: 1.676281452178955, Accuracy: 0.478515625
Batch: 68, Loss: 1.7048152685165405, Accuracy: 0.486328125
Batch: 69, Loss: 1.633216142654419, Accuracy: 0.5126953125
Batch: 70, Loss: 1.640397071838379, Accuracy: 0.5048828125
Batch: 71, Loss: 1.6449604034423828, Accuracy: 0.5029296875
Batch: 72, Loss: 1.640898585319519, Accuracy: 0.501953125
Batch: 73, Loss: 1.5611512660980225, Accuracy: 0.5166015625
Batch: 74, Loss: 1.5208141803741455, Accuracy: 0.5
Batch: 75, Loss: 1.5964285135269165, Accuracy: 0.505859375
Batch: 76, Loss: 1.6078728437423706, Accuracy: 0.4931640625
Batch: 77, Loss: 1.648993968963623, Accuracy: 0.4814453125
Batch: 78, Loss: 1.6916660070419312, Accuracy: 0.4814453125
Batch: 79, Loss: 1.7140684127807617, Accuracy: 0.4716796875
Batch: 80, Loss: 1.6714191436767578, Accuracy: 0.462890625
Batch: 81, Loss: 1.570302963256836, Accuracy: 0.5078125
Epoch 4/130
Batch: 1, Loss: 1.7419052124023438, Accuracy: 0.4619140625
Batch: 2, Loss: 1.6380305290222168, Accuracy: 0.484375
Batch: 3, Loss: 1.5655593872070312, Accuracy: 0.4921875
Batch: 4, Loss: 1.5635310411453247, Accuracy: 0.5009765625
Batch: 5, Loss: 1.5110210180282593, Accuracy: 0.5078125
Batch: 6, Loss: 1.4649014472961426, Accuracy: 0.5244140625
Batch: 7, Loss: 1.4247322082519531, Accuracy: 0.5166015625
Batch: 8, Loss: 1.4849305152893066, Accuracy: 0.515625
Batch: 9, Loss: 1.6100528240203857, Accuracy: 0.5068359375
Batch: 10, Loss: 1.6256006956100464, Accuracy: 0.4921875
Batch: 11, Loss: 1.6560044288635254, Accuracy: 0.5107421875
Batch: 12, Loss: 1.6760505437850952, Accuracy: 0.4853515625
Batch: 13, Loss: 1.7154488563537598, Accuracy: 0.4677734375
Batch: 14, Loss: 1.698056697845459, Accuracy: 0.4619140625
Batch: 15, Loss: 1.5331125259399414, Accuracy: 0.509765625
Batch: 16, Loss: 1.6395481824874878, Accuracy: 0.4990234375
Batch: 17, Loss: 1.66508150100708, Accuracy: 0.4775390625
Batch: 18, Loss: 1.6716818809509277, Accuracy: 0.4873046875
Batch: 19, Loss: 1.5576798915863037, Accuracy: 0.486328125
Batch: 20, Loss: 1.6413724422454834, Accuracy: 0.5
Batch: 21, Loss: 1.7283525466918945, Accuracy: 0.4814453125
Batch: 22, Loss: 1.6994829177856445, Accuracy: 0.4873046875
Batch: 23, Loss: 1.747776746749878, Accuracy: 0.458984375
Batch: 24, Loss: 1.669735312461853, Accuracy: 0.466796875
Batch: 25, Loss: 1.719272494316101, Accuracy: 0.470703125
Batch: 26, Loss: 1.6374083757400513, Accuracy: 0.4921875
Batch: 27, Loss: 1.7589796781539917, Accuracy: 0.4599609375
Batch: 28, Loss: 1.6157035827636719, Accuracy: 0.49609375
Batch: 29, Loss: 1.6413464546203613, Accuracy: 0.490234375
Batch: 30, Loss: 1.638317584991455, Accuracy: 0.4912109375
Batch: 31, Loss: 1.4979183673858643, Accuracy: 0.51171875
